Rainfall_MM;Year;Statistics;Country;ISO3
100.964;1917;Jun Average;Belgium;BEL
95.385;1917;Jul Average;Belgium;BEL
98.0979;1917;Aug Average;Belgium;BEL
21.8745;1917;Sep Average;Belgium;BEL
133.633;1917;Oct Average;Belgium;BEL
69.9097;1917;Nov Average;Belgium;BEL
38.6872;1917;Dec Average;Belgium;BEL
82.9666;1918;Jan Average;Belgium;BEL
42.7817;1918;Feb Average;Belgium;BEL
40.5994;1918;Mar Average;Belgium;BEL
72.9395;1918;Apr Average;Belgium;BEL
42.1546;1918;May Average;Belgium;BEL
37.2072;1918;Jun Average;Belgium;BEL
98.0051;1918;Jul Average;Belgium;BEL
79.3672;1918;Aug Average;Belgium;BEL
125.659;1918;Sep Average;Belgium;BEL
64.8421;1918;Oct Average;Belgium;BEL
53.0649;1918;Nov Average;Belgium;BEL
117.078;1918;Dec Average;Belgium;BEL
62.9894;1919;Jan Average;Belgium;BEL
62.4982;1919;Feb Average;Belgium;BEL
84.0084;1919;Mar Average;Belgium;BEL
77.8917;1919;Apr Average;Belgium;BEL
21.8926;1919;May Average;Belgium;BEL
39.0512;1919;Jun Average;Belgium;BEL
106.461;1919;Jul Average;Belgium;BEL
39.9795;1919;Aug Average;Belgium;BEL
61.0141;1919;Sep Average;Belgium;BEL
55.8167;1919;Oct Average;Belgium;BEL
108.355;1919;Nov Average;Belgium;BEL
161.043;1919;Dec Average;Belgium;BEL
131.348;1920;Jan Average;Belgium;BEL
31.0449;1920;Feb Average;Belgium;BEL
31.1359;1920;Mar Average;Belgium;BEL
94.4293;1920;Apr Average;Belgium;BEL
65.654;1920;May Average;Belgium;BEL
45.392;1920;Jun Average;Belgium;BEL
102.904;1920;Jul Average;Belgium;BEL
59.198;1920;Aug Average;Belgium;BEL
61.4014;1920;Sep Average;Belgium;BEL
28.9595;1920;Oct Average;Belgium;BEL
24.3878;1920;Nov Average;Belgium;BEL
60.2233;1920;Dec Average;Belgium;BEL
81.1438;1921;Jan Average;Belgium;BEL
12.3671;1921;Feb Average;Belgium;BEL
31.7024;1921;Mar Average;Belgium;BEL
30.0279;1921;Apr Average;Belgium;BEL
29.9467;1921;May Average;Belgium;BEL
39.0922;1921;Jun Average;Belgium;BEL
6.56519;1921;Jul Average;Belgium;BEL
46.0285;1921;Aug Average;Belgium;BEL
27.102;1921;Sep Average;Belgium;BEL
22.2325;1921;Oct Average;Belgium;BEL
52.5045;1921;Nov Average;Belgium;BEL
57.6735;1921;Dec Average;Belgium;BEL
98.8197;1922;Jan Average;Belgium;BEL
63.6507;1922;Feb Average;Belgium;BEL
61.5644;1922;Mar Average;Belgium;BEL
92.4831;1922;Apr Average;Belgium;BEL
19.9971;1922;May Average;Belgium;BEL
57.741;1922;Jun Average;Belgium;BEL
89.5825;1922;Jul Average;Belgium;BEL
85.5302;1922;Aug Average;Belgium;BEL
94.3409;1922;Sep Average;Belgium;BEL
48.2412;1922;Oct Average;Belgium;BEL
88.6503;1922;Nov Average;Belgium;BEL
90.6941;1922;Dec Average;Belgium;BEL
63.3545;1923;Jan Average;Belgium;BEL
80.4275;1923;Feb Average;Belgium;BEL
52.0504;1923;Mar Average;Belgium;BEL
37.2685;1923;Apr Average;Belgium;BEL
114.218;1923;May Average;Belgium;BEL
55.8094;1923;Jun Average;Belgium;BEL
62.8072;1923;Jul Average;Belgium;BEL
63.7795;1923;Aug Average;Belgium;BEL
68.0129;1923;Sep Average;Belgium;BEL
168.905;1923;Oct Average;Belgium;BEL
